r_object_id,cgm_and_assigned_groups
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,
0b02cba0829a3f8c,nb_letter_ro_ar_dit common
0b02cba0829a3f8c,nb_letters_ro_ar_cgm
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,
0b02cba0829a4700,nb_letter_ro_as_dit common
0b02cba0829a4700,nb_letters_ro_as_cgm
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,
0b02cba0829a4705,nb_letter_ro_hr_dit common
0b02cba0829a4705,nb_letters_ro_hr_cgm
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,
0b02cba0829a4709,nb_vertical_head_letter_ro_ka_ro-ka-dit common
0b02cba0829a4709,nb_letters_ro_ka_cgm
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,
0b02cba0829a470b,nb_letter_ro_mp_dit common
0b02cba0829a470b,nb_letters_ro_mp_cgm
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470d,
0b02cba0829a470d,nb_vertical_head_letter_ro_mn_ro-mn-dit common
0b02cba0829a470d,nb_letters_ro_mn_cgm
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,
0b02cba0829a470f,nb_vertical_head_letter_ro_mz_ro-mz-dit common
0b02cba0829a470f,nb_letters_ro_mz_cgm
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,
0b02cba0829a4710,nb_letter_ro_nl_dit common
0b02cba0829a4710,nb_letters_ro_nl_cgm
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,
0b02cba0829a4714,nb_letter_ro_rj_dit common
0b02cba0829a4714,nb_letters_ro_rj_cgm
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,
0b02cba0829a4716,nb_letter_ro_tn_dit common
0b02cba0829a4716,nb_letters_ro_tn_cgm
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba0829a471a,
0b02cba082991b00,
0b02cba082991b00,nb_letters_ro_up_cgm
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a3f89,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,
0b02cba0829a4701,nb_letter_ro_br_dit common
0b02cba0829a4701,nb_letters_ro_br_cgm
0b02cba0829a4703,
