"r_object_id";"nls_key";"business_policy_id";"state_name";"type_name";"resync_needed";"label_text";"help_text";"comment_text";"is_searchable";"ignore_constraints";"life_cycle";"constraint_dep_usr";"primary_key";"primary_key_enf";"primary_key_msg";"attr_name";"ignore_immutable";"not_null";"not_null_enf";"not_null_msg";"cond_value_assist";"value_assist_dep_usr";"cond_computed_expr";"computed_dep_usr";"default_search_op";"default_search_arg";"read_only";"reference_kind";"is_required";"is_hidden";"format_pattern";"format_pattern_tag";"def_value_length";"category_name";"domain_type";"domain_length";"super_domain_name";"super_domain_id"
"6a02cba080008100";"en";"0000000000000000";"";"cms_digidak_document";"0";"Version Stamp";"";"";"0";"0";"1";"0";"0000000000000000";"2";"";"i_vstamp";"1";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"1";"";"0";"0";"";"1";"0";"";"0000000000000000"
"6a02cba080008101";"en";"0000000000000000";"";"cms_digidak_document";"0";"Is Replica";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"i_is_replica";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"1";"";"0";"0";"";"0";"0";"";"0000000000000000"
"6a02cba080008102";"en";"0000000000000000";"";"cms_digidak_document";"0";"Partition Number";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"i_partition";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"1";"";"0";"0";"";"1";"0";"";"0000000000000000"
"6a02cba080008103";"en";"0000000000000000";"";"cms_digidak_document";"0";"Retainer ID";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"i_retainer_id";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"1";"";"0";"0";"";"3";"0";"";"0000000000000000"
"6a02cba080008104";"en";"0000000000000000";"";"cms_digidak_document";"0";"Aspect Name";"";"";"0";"0";"1";"0";"0000000000000000";"2";"";"r_aspect_name";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"1";"0";"0";"0";"";"0";"0";"";"2";"64";"";"0000000000000000"
"6a02cba080008105";"en";"0000000000000000";"";"cms_digidak_document";"0";"Retain Content Until";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"i_retain_until";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"0";"";"0";"0";"";"4";"0";"";"0000000000000000"
"6a02cba080008106";"en";"0000000000000000";"";"cms_digidak_document";"0";"Last Review Date";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_last_review_date";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"0";"0";"0";"0";"";"0";"0";"";"4";"0";"";"0000000000000000"
"6a02cba080008107";"en";"0000000000000000";"";"cms_digidak_document";"0";"Is Signed";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_is_signed";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"0";"0";"0";"0";"";"0";"0";"";"0";"0";"";"0000000000000000"
"6a02cba080008108";"en";"0000000000000000";"";"cms_digidak_document";"0";"Extended Properties";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_extended_properties";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"32";"";"0000000000000000"
"6a02cba080008109";"en";"0000000000000000";"";"cms_digidak_document";"0";"Full Content Size";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"r_full_content_size";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"0";"";"0";"0";"";"5";"0";"";"0000000000000000"
"6a02cba08000810a";"en";"0000000000000000";"";"cms_digidak_document";"0";"Controlling Application";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_controlling_app";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"32";"";"0000000000000000"
"6a02cba08000810b";"en";"0000000000000000";"";"cms_digidak_document";"0";"Template";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_is_template";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"0";"0";"0";"0";"";"0";"0";"";"0";"0";"";"0000000000000000"
"6a02cba08000810c";"en";"0000000000000000";"";"cms_digidak_document";"0";"Language Code";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"language_code";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"5";"";"0000000000000000"
"6a02cba08000810d";"en";"0000000000000000";"";"cms_digidak_document";"0";"Category";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_category";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"64";"";"0000000000000000"
"6a02cba08000810e";"en";"0000000000000000";"";"cms_digidak_document";"0";"Effective Flag";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_effective_flag";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"8";"";"0000000000000000"
"6a02cba08000810f";"en";"0000000000000000";"";"cms_digidak_document";"0";"Effective Label";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_effective_label";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"32";"";"0000000000000000"
"6a02cba080008110";"en";"0000000000000000";"";"cms_digidak_document";"0";"Publish Formats";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_publish_formats";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"8";"";"0";"0";"0";"0";"";"0";"0";"";"2";"32";"";"0000000000000000"
"6a02cba080008111";"en";"0000000000000000";"";"cms_digidak_document";"0";"Expiration Date";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_expiration_date";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"0";"0";"0";"0";"";"0";"0";"";"4";"0";"";"0000000000000000"
"6a02cba080008112";"en";"0000000000000000";"";"cms_digidak_document";"0";"Effective Date";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"a_effective_date";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"0";"0";"0";"0";"";"0";"0";"";"4";"0";"";"0000000000000000"
"6a02cba080008113";"en";"0000000000000000";"";"cms_digidak_document";"0";"Alias Set";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"r_alias_set_id";"0";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"0";"";"0";"0";"";"3";"0";"";"0000000000000000"
"6a02cba080008114";"en";"0000000000000000";"";"cms_digidak_document";"0";"Current State";"";"";"1";"0";"1";"0";"0000000000000000";"2";"";"r_current_state";"1";"0";"2";"";"0000000000000000";"0";"0000000000000000";"0";"1";"";"1";"0";"0";"0";"";"0";"0";"";"1";"0";"";"0000000000000000"
